datetime,description,amount,transaction_type,payment_mode,category
22-05-2024 21:45,Books Purchase,4036.0,Debit,UPI - Google Pay,Education
16-03-2024 06:03,City Bus Ticket,4794.0,Debit,Net Banking,Transport
16-01-2024 23:20,Netflix Subscription,518.0,Debit,UPI - PhonePe,Entertainment
02-05-2024 16:58,Spotify Subscription,4400.0,Debit,UPI - Google Pay,Entertainment
10-05-2024 02:54,Zomato Restaurant,1572.0,Debit,UPI - PhonePe,Food
18-01-2024 21:55,Gym Membership,1976.0,Debit,Debit Card,Health
25-05-2024 07:37,Cafe Coffee Day,4920.0,Debit,UPI - PhonePe,Food
21-01-2024 13:42,Gym Membership,4831.0,Debit,Credit Card,Health
21-03-2024 08:13,Movie Tickets,2623.0,Debit,UPI - Google Pay,Entertainment
11-04-2024 04:42,Amazon Purchase,2507.0,Debit,Debit Card,Shopping
19-01-2024 00:29,Myntra Clothing,4662.0,Debit,UPI - PhonePe,Shopping
17-05-2024 06:32,Local Restaurant,2222.0,Debit,UPI - Google Pay,Food
18-01-2024 07:23,Electronics Store,2384.0,Debit,UPI - Google Pay,Shopping
19-05-2024 22:19,Internet Bill,4383.0,Debit,UPI - PhonePe,Utilities
21-05-2024 09:59,Hospital Visit,898.0,Debit,UPI - Google Pay,Health
30-01-2024 03:47,Amazon Purchase,4582.0,Debit,UPI - Google Pay,Shopping
13-03-2024 19:13,Amazon Purchase,2858.0,Debit,UPI - Google Pay,Shopping
11-06-2024 08:32,Hospital Visit,4052.0,Debit,UPI - Paytm,Health
14-01-2024 02:40,Scholarship Credit,47759.0,Credit,Cash,Income
12-01-2024 00:21,Amazon Purchase,1121.0,Debit,Net Banking,Shopping
11-02-2024 23:28,Amazon Purchase,4569.0,Debit,Net Banking,Shopping
23-05-2024 00:07,Mobile Recharge,666.0,Debit,Net Banking,Utilities
19-05-2024 01:53,Uber Ride,3074.0,Debit,Credit Card,Transport
07-02-2024 13:08,Netflix Subscription,392.0,Debit,UPI - Paytm,Entertainment
11-01-2024 11:13,Electronics Store,2094.0,Debit,Net Banking,Shopping
31-03-2024 17:56,Cafe Coffee Day,3379.0,Debit,Credit Card,Food
09-02-2024 07:55,Books Purchase,1381.0,Debit,Cash,Education
15-02-2024 13:01,Salary Credit,31754.0,Credit,Net Banking,Income
15-04-2024 21:55,Myntra Clothing,2082.0,Debit,UPI - Paytm,Shopping
26-02-2024 06:52,Gas Bill,3820.0,Debit,UPI - Paytm,Utilities
28-02-2024 07:01,Flipkart Order,1632.0,Debit,Debit Card,Shopping
12-03-2024 02:49,Myntra Clothing,2336.0,Debit,UPI - Paytm,Shopping
10-05-2024 12:43,Medical Store,4442.0,Debit,UPI - Paytm,Health
30-01-2024 08:11,Swiggy Order,4806.0,Debit,UPI - Paytm,Food
28-01-2024 19:27,Zomato Restaurant,2881.0,Debit,Net Banking,Food
21-03-2024 13:38,Salary Credit,53516.0,Credit,UPI - PhonePe,Income
27-05-2024 06:16,Electricity Bill,413.0,Debit,Net Banking,Utilities
01-01-2024 16:59,Mobile Recharge,4460.0,Debit,Net Banking,Utilities
20-06-2024 06:23,Books Purchase,3583.0,Debit,UPI - PhonePe,Education
25-03-2024 19:20,Hospital Visit,1070.0,Debit,Net Banking,Health
09-05-2024 09:42,Flipkart Order,3395.0,Debit,UPI - Paytm,Shopping
19-06-2024 12:43,Mobile Recharge,1475.0,Debit,Credit Card,Utilities
5 Dec 2025 12:45 PM,PRINCIPAL,200.0,Debit,UPI,Education
5 Dec 2025 12:45 PM,PRINCIPAL,200.0,Debit,UPI,Education
5 Dec 2025 12:45 PM,PRINCIPAL,200.0,Debit,UPI,Education
5 Dec 2025 12:45 PM,PRINCIPAL,200.0,Debit,UPI,Education
5 Dec 2025 12:45 PM,PRINCIPAL,200.0,Debit,UPI,Education
5 Dec 2025 12:45 PM,PRINCIPAL,200.0,Debit,UPI,Education
5 Dec 2025 12:45 PM,PRINCIPAL,200.0,Debit,UPI,Education
Not found Not found,Amazon Offer Sale,1999.0,Debit,UPI,Shopping
Not found Not found,Amazon Offer Sale,1999.0,Debit,UPI,Shopping
5 Dec 2025 12:45 PM,PRINCIPAL,200.0,Debit,UPI,Education
Not found Not found,Amazon Offer Sale,1999.0,Debit,UPI,Shopping
5 Dec 2025 12:45 PM,PRINCIPAL,200.0,Debit,UPI,Education
Not found Not found,Amazon Offer Sale,1999.0,Debit,UPI,Shopping
5 Dec 2025 12:45 PM,PRINCIPAL,200.0,Debit,UPI,Education
31 Jul 2025 07:40 pm,DL DATTA SUDHAKAR LONDHE,100.0,Debit,UPI,Others
19 Dec 2025 8:40 pm,Dasi Shrikant Shrinivas,20.0,Debit,UPI,Others
31 Jul 2025 07:40 pm,DL DATTA SUDHAKAR LONDHE,100.0,Debit,UPI,Others
3 Dec 2025 11:29 PM,HARSH BADGANCHI,160.0,Debit,UPI,Others
31 Jul 2025 07:40 pm,DL DATTA SUDHAKAR LONDHE,100.0,Debit,UPI,Others
3 Dec 2025 11:29 PM,HARSH BADGANCHI,160.0,Debit,UPI,Others
Not found Not found,Amazon Offer Sale,1999.0,Debit,UPI,Shopping
5 Dec 2025 12:45 PM,PRINCIPAL,2000.0,Debit,UPI,Education
Not found Not found,Amazon Offer Sell,1999.0,Debit,UPI,Shopping
17 Dec 2025 11:39 AM,Not found,15.0,Debit,UPI,Others
2 Dec 2025 2:55 PM,VADAPAV JUNCTION,950.0,Debit,UPI,Food
17 Dec 2025 11:39 AM,Not found,7586.0,Debit,UPI,Others
Not found Not found,Not found,7586.46,Debit,UPI,Others
Not found Not found,VADAPAV JUNCTION,7.21,Debit,UPI,Food
Not found Not found,Not found,1999.0,Debit,UPI,Others
Not found Not found,Not found,7586.46,Debit,UPI,Others
Not found Not found,VADAPAV JUNCTION,7.21,Debit,UPI,Food
Not found Not found,Not found,586.46,Debit,UPI,Others
02-11-25 00:00,Unknown,1200.0,Debit,UPI,Others
02-11-25 00:00,Unknown,1100.0,Debit,UPI,Others
05-11-25 00:00,Unknown,200.0,Debit,UPI,Others
15-11-25 00:00,Unknown,500.0,Debit,UPI,Others
21-11-25 00:00,Unknown,1200.0,Debit,UPI,Others
23-11-25 00:00,Unknown,7200.0,Debit,UPI,Others
02-11-25 00:00,Unknown,1200.0,Debit,UPI,Others
02-11-25 00:00,Unknown,1100.0,Debit,UPI,Others
05-11-25 00:00,Unknown,200.0,Debit,UPI,Others
15-11-25 00:00,Unknown,500.0,Debit,UPI,Others
21-11-25 00:00,Unknown,1200.0,Debit,UPI,Others
23-11-25 00:00,Unknown,7200.0,Debit,UPI,Others
29-11-25 00:00,Unknown,2000.0,Debit,UPI,Others
30-11-25 00:00,Unknown,596.0,Debit,UPI,Others
02-11-25 00:00,Unknown,1200.0,Debit,UPI,Others
02-11-25 00:00,Unknown,1100.0,Debit,UPI,Others
05-11-25 00:00,Unknown,200.0,Debit,UPI,Others
15-11-25 00:00,Unknown,500.0,Debit,UPI,Others
21-11-25 00:00,Unknown,1200.0,Debit,UPI,Others
23-11-25 00:00,Unknown,7200.0,Debit,UPI,Others
02-11-25 00:00,Unknown,1200.0,Debit,UPI,Others
02-11-25 00:00,Unknown,1100.0,Debit,UPI,Others
05-11-25 00:00,Unknown,200.0,Debit,UPI,Others
15-11-25 00:00,Unknown,500.0,Debit,UPI,Others
02-11-25 00:00,Unknown,1200.0,Debit,UPI,Others
02-11-25 00:00,Unknown,1200.0,Debit,UPI,Others
02-11-25 00:00,Unknown,1100.0,Debit,UPI,Others
05-11-25 00:00,Unknown,200.0,Debit,UPI,Others
15-11-25 00:00,Unknown,500.0,Debit,UPI,Others
21-11-25 00:00,Unknown,1200.0,Debit,UPI,Others
23-11-25 00:00,Unknown,7200.0,Debit,UPI,Others
29-11-25 00:00,Unknown,2000.0,Debit,UPI,Others
30-11-25 00:00,Unknown,596.0,Debit,UPI,Others
02-11-25 00:00,Unknown,1200.0,Debit,UPI,Others
02-11-25 00:00,Unknown,1100.0,Debit,UPI,Others
05-11-25 00:00,Unknown,200.0,Debit,UPI,Others
15-11-25 00:00,Unknown,500.0,Debit,UPI,Others
21-11-25 00:00,Unknown,1200.0,Debit,UPI,Others
23-11-25 00:00,Unknown,7200.0,Debit,UPI,Others
29-11-25 00:00,Unknown,2000.0,Debit,UPI,Others
30-11-25 00:00,Unknown,596.0,Debit,UPI,Others
13 Dec 2025 11:29PM,HARSH BADGANCHI,1204.0,Debit,UPI,Others
31 Jul 2025 07:40 pm,DATTA SUDHAKAR LONDHE,100.0,Debit,UPI,Others
Not found Not found,Not found,586.46,Debit,UPI,Others
Not found Not found,Not found,586.46,Debit,UPI,Others
Not found Not found,VADAPAV JUNCTION,950.0,Debit,UPI,Food
02-11-25 00:00,Unknown,1200.0,Debit,UPI,Others
02-11-25 00:00,Unknown,1100.0,Debit,UPI,Others
05-11-25 00:00,Unknown,200.0,Debit,UPI,Others
15-11-25 00:00,Unknown,500.0,Debit,UPI,Others
21-11-25 00:00,Unknown,1200.0,Debit,UPI,Others
23-11-25 00:00,Unknown,7200.0,Debit,UPI,Others
29-11-25 00:00,Unknown,2000.0,Debit,UPI,Others
30-11-25 00:00,Unknown,596.0,Debit,UPI,Others
02-11-25 00:00,Unknown,1200.0,Debit,UPI,Others
02-11-25 00:00,Unknown,1200.0,Debit,UPI,Others
02-11-25 00:00,Unknown,1100.0,Debit,UPI,Others
28-12-2025 00:00,VADAPAV JUNCTION,95.0,Debit,UPI,Food
